model_id,drift_confidence,warning_confidence,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_21,0.0001,0.005,1,500,44,0.5,525000.0,26.90909090909091,1007.5454545454545,0.05526558798589906,0.054279046044257755,0.18657890451122505,0.18419062772446815,0.9949411011543308,0.997698197325063,0.027251655864345994,0.029932891540060524,1.306363636363623,2.4171681818181736,26.385064935064932,-76.09398630306063,-161.90967998053532,-39.345230373414196,26.795454545454547,923.4772727272727,0.11363636363636363,26.30834848484848
model_22,0.0001,0.005,1,1000,44,0.5,525000.0,26.90909090909091,512.7272727272727,0.0884185898938575,0.07680723411030305,0.2647795478141051,0.24007424737602961,0.9177929935415836,0.972801671721285,0.0425580925611874,0.050144008227902,2.5951363636363465,4.753463636363623,13.418181818181818,-37.970994808217085,-81.74699841048017,-24.51481118890372,24.136363636363637,469.6363636363636,2.772727272727273,20.77177272727275
model_23,0.0001,0.005,1,2000,44,0.5,525000.0,26.90909090909091,259.02272727272725,0.12537557645769673,0.08426778989593799,0.3347840587296712,0.2333135960699385,0.38647661908572956,0.8947847994627666,0.040242233750076906,0.07535174129138968,5.468318181818166,8.281236363636355,6.790259740259741,-22.661412094534956,-44.846200245484404,-23.091745291787504,19.34090909090909,237.6590909090909,7.568181818181818,12.774272727272766
model_24,0.0001,0.005,1,3000,44,0.5,525000.0,26.90909090909091,173.45454545454547,0.12406196205549412,0.07783731560802161,0.2901864731713452,0.1899953367524911,0.28516491102263514,0.5952771511570727,0.041283952094397725,0.0798837102376509,5.304093023255785,8.126004651162773,4.559090909090909,-21.67696261595901,-36.50586604672839,-29.17160180966523,13.886363636363637,159.5681818181818,13.022727272727273,8.542696969696998
model_25,0.0001,0.005,1,5000,44,0.5,525000.0,26.90909090909091,104.52272727272727,0.11567977668605564,0.07526178473476726,0.22585839590551285,0.15091658038303646,0.17218724958097376,0.38104995856421947,0.043407016208759336,0.08353918226766856,5.55880952380952,7.816209523809505,2.7363636363636363,-23.01921741475581,-31.929205349863924,-37.882405265383575,8.75,95.77272727272727,18.15909090909091,5.567696969696981
model_26,0.0001,0.005,10,500,44,0.5,525000.0,26.90909090909091,979.9090909090909,0.05622189898405027,0.05532696651214807,0.18937370716991697,0.18720216069661577,0.9915527958436395,0.9946210505911999,0.02775693170890454,0.03046664809115693,1.14563636363634,2.34373636363636,25.6512987012987,-74.23430784019803,-157.79553464092655,-38.908239894379214,26.772727272727273,897.7954545454545,0.13636363636363635,26.333515151515154
model_27,0.0001,0.005,10,1000,44,0.5,525000.0,26.90909090909091,504.0,0.08861178592371953,0.07709320394874579,0.2648484011229491,0.24031981564651872,0.8751593786547693,0.9660721289809394,0.042247817203834075,0.050286587311737026,2.637090909090894,4.850536363636355,13.204545454545455,-37.60969469148103,-80.73349408468046,-24.729613176699498,23.931818181818183,462.15909090909093,2.977272727272727,20.613439393939423
model_28,0.0001,0.005,10,2000,44,0.5,525000.0,26.90909090909091,256.4318181818182,0.12685859226486645,0.08763176271932491,0.33884382958961123,0.2429605774703252,0.45674324833426105,0.8995061010801947,0.04133762493054988,0.07616275405941081,4.9735909090908965,7.97420909090907,6.705844155844156,-21.911316396961205,-43.841395550694955,-22.264458638276146,19.386363636363637,234.70454545454547,7.5227272727272725,13.14984848484852
model_29,0.0001,0.005,10,3000,44,0.5,525000.0,26.90909090909091,172.11363636363637,0.12826856386850516,0.07960634128694209,0.3041238195905651,0.1971607785272745,0.27402858714035266,0.639740879191508,0.03996733576693003,0.08204357863218542,5.536227272727256,8.227527272727249,4.5123376623376625,-21.34235376864878,-36.041346664395036,-28.674675502593836,14.181818181818182,157.9318181818182,12.727272727272727,8.58295454545458
model_30,0.0001,0.005,10,5000,44,0.5,525000.0,26.90909090909091,104.04545454545455,0.11570670395899754,0.07416547094075855,0.22966038602332264,0.15381635219320977,0.1772188831530658,0.3982950394326034,0.04118246884112697,0.08300470430716168,5.234465116279046,7.977502325581361,2.7253246753246754,-23.538414154658458,-32.430902195494376,-38.637624679695044,8.659090909090908,95.38636363636364,18.25,5.376878787878807
model_31,0.0001,0.005,50,500,44,0.5,525000.0,26.90909090909091,903.8863636363636,0.059208106636533024,0.057532480919996735,0.19848894792020513,0.19414320566920276,0.9691096370387018,0.9833176175510221,0.029003363588080037,0.032114262888037454,1.2410909090908964,2.850368181818178,23.616233766233766,-68.1078038674014,-145.23595541964838,-35.99827354582337,26.454545454545453,826.5681818181819,0.45454545454545453,25.699651515151515
model_32,0.0001,0.005,50,1000,44,0.5,525000.0,26.90909090909091,475.77272727272725,0.0923266219348721,0.08012808530269573,0.27391792773981444,0.2473998223286741,0.8337081112613398,0.9565779695004832,0.04325262992431725,0.05243654560500043,2.60413636363634,5.068086363636348,12.425974025974027,-35.522362973844125,-76.21136845190553,-23.882405689358873,23.727272727272727,434.90909090909093,3.1818181818181817,20.31951515151518
model_33,0.0001,0.005,50,2000,44,0.5,525000.0,26.90909090909091,244.86363636363637,0.1300365778738391,0.08882438880714698,0.3399418436900112,0.23890059838630967,0.39005056159047,0.8724995888014973,0.04218316908845217,0.07852645378691454,5.3899545454545255,8.295127272727273,6.39025974025974,-21.495450592622802,-42.4720645002202,-22.529870911551374,19.15909090909091,223.6590909090909,7.75,12.823151515151553
model_34,0.0001,0.005,50,3000,44,0.5,525000.0,26.90909090909091,165.47727272727272,0.13055622583115453,0.08385042190184244,0.304068091989326,0.2018784457489458,0.30375281758869843,0.6298123225880269,0.04436117433978022,0.08370631652299644,5.201045454545421,8.493809090909059,4.32922077922078,-21.17922189526865,-35.338307656838616,-29.09967901448366,13.954545454545455,151.52272727272728,12.954545454545455,8.752893939393969
model_35,0.0001,0.005,50,5000,44,0.5,525000.0,26.90909090909091,101.25,0.11688003271695221,0.07590808727089575,0.22978651171397313,0.15577380152829104,0.18331310208984844,0.3829908819585599,0.04201898963057287,0.08383416189974825,5.208333333333296,7.794723809523777,2.6493506493506493,-23.811837708735457,-32.4843270376603,-39.31650213518213,8.522727272727273,92.72727272727273,18.386363636363637,5.351500000000023
model_36,0.0001,0.005,100,500,44,0.5,525000.0,26.90909090909091,856.0227272727273,0.061259026765431296,0.0584829398270873,0.20249318196771143,0.19551562794557506,0.9427544454887932,0.9588865681171097,0.029845469248990408,0.03333444778646256,1.320499999999993,3.128899999999994,22.357792207792208,-65.0319387547911,-137.95966835700682,-35.7726194082287,25.977272727272727,782.5227272727273,0.9318181818181818,24.811848484848493
model_37,0.0001,0.005,100,1000,44,0.5,525000.0,26.90909090909091,456.8863636363636,0.09364717894877866,0.08008828901540198,0.27415865916456555,0.24427247880661707,0.8016135990342991,0.9315345797666142,0.042876940581496555,0.053323302438917836,2.824909090909081,5.280581818181797,11.937012987012986,-34.53825128728594,-73.53595049867513,-24.22121986340952,23.272727272727273,417.79545454545456,3.6363636363636362,19.59298484848488
model_38,0.0001,0.005,100,2000,44,0.5,525000.0,26.90909090909091,236.8409090909091,0.13069885478143545,0.09483364536402704,0.3385774679377479,0.2517469354678366,0.45066381695803454,0.8576972573293223,0.04573610286132355,0.07899968762269895,4.706590909090891,7.954149999999979,6.181818181818182,-21.507209330103933,-41.76487981967249,-23.628374085319653,18.704545454545453,216.36363636363637,8.204545454545455,13.311409090909132
model_39,0.0001,0.005,100,3000,44,0.5,525000.0,26.90909090909091,160.75,0.12930041422422914,0.0826734331053355,0.2954930825926282,0.19440557883708678,0.2672844382244896,0.5796923560191082,0.042758639336786,0.0833912857297599,5.1576190476190265,8.431647619047599,4.206493506493507,-21.474313035168812,-35.223460371596914,-30.008830276045668,13.522727272727273,147.22727272727272,13.386363636363637,8.412303030303054
model_40,0.0001,0.005,100,5000,44,0.5,525000.0,26.90909090909091,98.88636363636364,0.11755023845561965,0.07856438998765397,0.225822297915693,0.1581915986958424,0.172519566987608,0.3703397584739179,0.04234344019902669,0.0849787733351287,5.098190476190444,7.575499999999985,2.583116883116883,-23.558707202557972,-32.00119767272474,-39.246552876565495,8.477272727272727,90.4090909090909,18.431818181818183,5.412878787878811
model_41,0.0001,0.01,1,500,44,0.5,525000.0,26.90909090909091,1007.5454545454545,0.05526558798589906,0.054279046044257755,0.18657890451122505,0.18419062772446815,0.9949411011543308,0.997698197325063,0.027251655864345994,0.029932891540060524,1.306363636363623,2.4171681818181736,26.385064935064932,-76.09398630306063,-161.90967998053532,-39.345230373414196,26.795454545454547,923.4772727272727,0.11363636363636363,26.30834848484848
model_42,0.0001,0.01,1,1000,44,0.5,525000.0,26.90909090909091,512.7272727272727,0.0884185898938575,0.07680723411030305,0.2647795478141051,0.24007424737602961,0.9177929935415836,0.972801671721285,0.0425580925611874,0.050144008227902,2.5951363636363465,4.753463636363623,13.418181818181818,-37.970994808217085,-81.74699841048017,-24.51481118890372,24.136363636363637,469.6363636363636,2.772727272727273,20.77177272727275
model_43,0.0001,0.01,1,2000,44,0.5,525000.0,26.90909090909091,259.02272727272725,0.12537557645769673,0.08426778989593799,0.3347840587296712,0.2333135960699385,0.38647661908572956,0.8947847994627666,0.040242233750076906,0.07535174129138968,5.468318181818166,8.281236363636355,6.790259740259741,-22.661412094534956,-44.846200245484404,-23.091745291787504,19.34090909090909,237.6590909090909,7.568181818181818,12.774272727272766
model_44,0.0001,0.01,1,3000,44,0.5,525000.0,26.90909090909091,173.45454545454547,0.12406196205549412,0.07783731560802161,0.2901864731713452,0.1899953367524911,0.28516491102263514,0.5952771511570727,0.041283952094397725,0.0798837102376509,5.304093023255785,8.126004651162773,4.559090909090909,-21.67696261595901,-36.50586604672839,-29.17160180966523,13.886363636363637,159.5681818181818,13.022727272727273,8.542696969696998
model_45,0.0001,0.01,1,5000,44,0.5,525000.0,26.90909090909091,104.52272727272727,0.11567977668605564,0.07526178473476726,0.22585839590551285,0.15091658038303646,0.17218724958097376,0.38104995856421947,0.043407016208759336,0.08353918226766856,5.55880952380952,7.816209523809505,2.7363636363636363,-23.01921741475581,-31.929205349863924,-37.882405265383575,8.75,95.77272727272727,18.15909090909091,5.567696969696981
model_46,0.0001,0.01,10,500,44,0.5,525000.0,26.90909090909091,979.9090909090909,0.05622189898405027,0.05532696651214807,0.18937370716991697,0.18720216069661577,0.9915527958436395,0.9946210505911999,0.02775693170890454,0.03046664809115693,1.14563636363634,2.34373636363636,25.6512987012987,-74.23430784019803,-157.79553464092655,-38.908239894379214,26.772727272727273,897.7954545454545,0.13636363636363635,26.333515151515154
model_47,0.0001,0.01,10,1000,44,0.5,525000.0,26.90909090909091,504.0,0.08861178592371953,0.07709320394874579,0.2648484011229491,0.24031981564651872,0.8751593786547693,0.9660721289809394,0.042247817203834075,0.050286587311737026,2.637090909090894,4.850536363636355,13.204545454545455,-37.60969469148103,-80.73349408468046,-24.729613176699498,23.931818181818183,462.15909090909093,2.977272727272727,20.613439393939423
model_48,0.0001,0.01,10,2000,44,0.5,525000.0,26.90909090909091,256.4318181818182,0.12685859226486645,0.08763176271932491,0.33884382958961123,0.2429605774703252,0.45674324833426105,0.8995061010801947,0.04133762493054988,0.07616275405941081,4.9735909090908965,7.97420909090907,6.705844155844156,-21.911316396961205,-43.841395550694955,-22.264458638276146,19.386363636363637,234.70454545454547,7.5227272727272725,13.14984848484852
model_49,0.0001,0.01,10,3000,44,0.5,525000.0,26.90909090909091,172.11363636363637,0.12826856386850516,0.07960634128694209,0.3041238195905651,0.1971607785272745,0.27402858714035266,0.639740879191508,0.03996733576693003,0.08204357863218542,5.536227272727256,8.227527272727249,4.5123376623376625,-21.34235376864878,-36.041346664395036,-28.674675502593836,14.181818181818182,157.9318181818182,12.727272727272727,8.58295454545458
model_50,0.0001,0.01,10,5000,44,0.5,525000.0,26.90909090909091,104.04545454545455,0.11570670395899754,0.07416547094075855,0.22966038602332264,0.15381635219320977,0.1772188831530658,0.3982950394326034,0.04118246884112697,0.08300470430716168,5.234465116279046,7.977502325581361,2.7253246753246754,-23.538414154658458,-32.430902195494376,-38.637624679695044,8.659090909090908,95.38636363636364,18.25,5.376878787878807
model_51,0.0001,0.01,50,500,44,0.5,525000.0,26.90909090909091,903.8863636363636,0.059208106636533024,0.057532480919996735,0.19848894792020513,0.19414320566920276,0.9691096370387018,0.9833176175510221,0.029003363588080037,0.032114262888037454,1.2410909090908964,2.850368181818178,23.616233766233766,-68.1078038674014,-145.23595541964838,-35.99827354582337,26.454545454545453,826.5681818181819,0.45454545454545453,25.699651515151515
model_52,0.0001,0.01,50,1000,44,0.5,525000.0,26.90909090909091,475.77272727272725,0.0923266219348721,0.08012808530269573,0.27391792773981444,0.2473998223286741,0.8337081112613398,0.9565779695004832,0.04325262992431725,0.05243654560500043,2.60413636363634,5.068086363636348,12.425974025974027,-35.522362973844125,-76.21136845190553,-23.882405689358873,23.727272727272727,434.90909090909093,3.1818181818181817,20.31951515151518
model_53,0.0001,0.01,50,2000,44,0.5,525000.0,26.90909090909091,244.86363636363637,0.1300365778738391,0.08882438880714698,0.3399418436900112,0.23890059838630967,0.39005056159047,0.8724995888014973,0.04218316908845217,0.07852645378691454,5.3899545454545255,8.295127272727273,6.39025974025974,-21.495450592622802,-42.4720645002202,-22.529870911551374,19.15909090909091,223.6590909090909,7.75,12.823151515151553
model_54,0.0001,0.01,50,3000,44,0.5,525000.0,26.90909090909091,165.47727272727272,0.13055622583115453,0.08385042190184244,0.304068091989326,0.2018784457489458,0.30375281758869843,0.6298123225880269,0.04436117433978022,0.08370631652299644,5.201045454545421,8.493809090909059,4.32922077922078,-21.17922189526865,-35.338307656838616,-29.09967901448366,13.954545454545455,151.52272727272728,12.954545454545455,8.752893939393969
model_55,0.0001,0.01,50,5000,44,0.5,525000.0,26.90909090909091,101.25,0.11688003271695221,0.07590808727089575,0.22978651171397313,0.15577380152829104,0.18331310208984844,0.3829908819585599,0.04201898963057287,0.08383416189974825,5.208333333333296,7.794723809523777,2.6493506493506493,-23.811837708735457,-32.4843270376603,-39.31650213518213,8.522727272727273,92.72727272727273,18.386363636363637,5.351500000000023
model_56,0.0001,0.01,100,500,44,0.5,525000.0,26.90909090909091,856.0227272727273,0.061259026765431296,0.0584829398270873,0.20249318196771143,0.19551562794557506,0.9427544454887932,0.9588865681171097,0.029845469248990408,0.03333444778646256,1.320499999999993,3.128899999999994,22.357792207792208,-65.0319387547911,-137.95966835700682,-35.7726194082287,25.977272727272727,782.5227272727273,0.9318181818181818,24.811848484848493
model_57,0.0001,0.01,100,1000,44,0.5,525000.0,26.90909090909091,456.8863636363636,0.09364717894877866,0.08008828901540198,0.27415865916456555,0.24427247880661707,0.8016135990342991,0.9315345797666142,0.042876940581496555,0.053323302438917836,2.824909090909081,5.280581818181797,11.937012987012986,-34.53825128728594,-73.53595049867513,-24.22121986340952,23.272727272727273,417.79545454545456,3.6363636363636362,19.59298484848488
model_58,0.0001,0.01,100,2000,44,0.5,525000.0,26.90909090909091,236.8409090909091,0.13069885478143545,0.09483364536402704,0.3385774679377479,0.2517469354678366,0.45066381695803454,0.8576972573293223,0.04573610286132355,0.07899968762269895,4.706590909090891,7.954149999999979,6.181818181818182,-21.507209330103933,-41.76487981967249,-23.628374085319653,18.704545454545453,216.36363636363637,8.204545454545455,13.311409090909132
model_59,0.0001,0.01,100,3000,44,0.5,525000.0,26.90909090909091,160.75,0.12930041422422914,0.0826734331053355,0.2954930825926282,0.19440557883708678,0.2672844382244896,0.5796923560191082,0.042758639336786,0.0833912857297599,5.1576190476190265,8.431647619047599,4.206493506493507,-21.474313035168812,-35.223460371596914,-30.008830276045668,13.522727272727273,147.22727272727272,13.386363636363637,8.412303030303054
model_60,0.0001,0.01,100,5000,44,0.5,525000.0,26.90909090909091,98.88636363636364,0.11755023845561965,0.07856438998765397,0.225822297915693,0.1581915986958424,0.172519566987608,0.3703397584739179,0.04234344019902669,0.0849787733351287,5.098190476190444,7.575499999999985,2.583116883116883,-23.558707202557972,-32.00119767272474,-39.246552876565495,8.477272727272727,90.4090909090909,18.431818181818183,5.412878787878811
model_61,0.0001,0.05,1,500,44,0.5,525000.0,26.90909090909091,1007.5454545454545,0.05526558798589906,0.054279046044257755,0.18657890451122505,0.18419062772446815,0.9949411011543308,0.997698197325063,0.027251655864345994,0.029932891540060524,1.306363636363623,2.4171681818181736,26.385064935064932,-76.09398630306063,-161.90967998053532,-39.345230373414196,26.795454545454547,923.4772727272727,0.11363636363636363,26.30834848484848
model_62,0.0001,0.05,1,1000,44,0.5,525000.0,26.90909090909091,512.7272727272727,0.0884185898938575,0.07680723411030305,0.2647795478141051,0.24007424737602961,0.9177929935415836,0.972801671721285,0.0425580925611874,0.050144008227902,2.5951363636363465,4.753463636363623,13.418181818181818,-37.970994808217085,-81.74699841048017,-24.51481118890372,24.136363636363637,469.6363636363636,2.772727272727273,20.77177272727275
model_63,0.0001,0.05,1,2000,44,0.5,525000.0,26.90909090909091,259.02272727272725,0.12537557645769673,0.08426778989593799,0.3347840587296712,0.2333135960699385,0.38647661908572956,0.8947847994627666,0.040242233750076906,0.07535174129138968,5.468318181818166,8.281236363636355,6.790259740259741,-22.661412094534956,-44.846200245484404,-23.091745291787504,19.34090909090909,237.6590909090909,7.568181818181818,12.774272727272766
model_64,0.0001,0.05,1,3000,44,0.5,525000.0,26.90909090909091,173.45454545454547,0.12406196205549412,0.07783731560802161,0.2901864731713452,0.1899953367524911,0.28516491102263514,0.5952771511570727,0.041283952094397725,0.0798837102376509,5.304093023255785,8.126004651162773,4.559090909090909,-21.67696261595901,-36.50586604672839,-29.17160180966523,13.886363636363637,159.5681818181818,13.022727272727273,8.542696969696998
model_65,0.0001,0.05,1,5000,44,0.5,525000.0,26.90909090909091,104.52272727272727,0.11567977668605564,0.07526178473476726,0.22585839590551285,0.15091658038303646,0.17218724958097376,0.38104995856421947,0.043407016208759336,0.08353918226766856,5.55880952380952,7.816209523809505,2.7363636363636363,-23.01921741475581,-31.929205349863924,-37.882405265383575,8.75,95.77272727272727,18.15909090909091,5.567696969696981
model_66,0.0001,0.05,10,500,44,0.5,525000.0,26.90909090909091,979.9090909090909,0.05622189898405027,0.05532696651214807,0.18937370716991697,0.18720216069661577,0.9915527958436395,0.9946210505911999,0.02775693170890454,0.03046664809115693,1.14563636363634,2.34373636363636,25.6512987012987,-74.23430784019803,-157.79553464092655,-38.908239894379214,26.772727272727273,897.7954545454545,0.13636363636363635,26.333515151515154
model_67,0.0001,0.05,10,1000,44,0.5,525000.0,26.90909090909091,504.0,0.08861178592371953,0.07709320394874579,0.2648484011229491,0.24031981564651872,0.8751593786547693,0.9660721289809394,0.042247817203834075,0.050286587311737026,2.637090909090894,4.850536363636355,13.204545454545455,-37.60969469148103,-80.73349408468046,-24.729613176699498,23.931818181818183,462.15909090909093,2.977272727272727,20.613439393939423
model_68,0.0001,0.05,10,2000,44,0.5,525000.0,26.90909090909091,256.4318181818182,0.12685859226486645,0.08763176271932491,0.33884382958961123,0.2429605774703252,0.45674324833426105,0.8995061010801947,0.04133762493054988,0.07616275405941081,4.9735909090908965,7.97420909090907,6.705844155844156,-21.911316396961205,-43.841395550694955,-22.264458638276146,19.386363636363637,234.70454545454547,7.5227272727272725,13.14984848484852
